Site,Tree_ID,Species,Treatment,Circumference,Diameter (year 1),Y1_Growth (circ.),Y1_Growth (diam.),D2_Y2 (cm),Circ Y2,D2_calc_Y2,Y3_TotGrowth (circ.),Y1-Y3_Growth,Y1-Y3_growth_diam,D3_Y3,FinalState
Tiorola,C3,Pteleopsis suberosa,C,54.3,17.9,0,0,17.9,54.3,17.28424142,0.8,0.8,0.254648124,18.15464812,alive
Tiorola,C14,Pteleopsis suberosa,C,21.4,6.8,0,0,6.8,21.4,6.811837318,,,,,dead
Tiorola,C15,Pteleopsis suberosa,C,62.8,16.9,0.6,0.190986093,17.09098609,63.4,20.18086383,3.4,2.8,0.891268434,17.98225453,alive
Tiorola,C16,Pteleopsis suberosa,C,19.7,6.7,0.2,0.063662031,6.763662031,19.9,6.334372085,2.1,1.9,0.604789295,7.368451326,alive
Tiorola,C2,Pteleopsis suberosa,C,49,13.9,0,0,13.9,49,15.5971976,0.5,0.5,0.159155078,14.05915508,alive
Tiorola,C18,Pteleopsis suberosa,C,72.1,18.8,0.3,0.095493047,18.89549305,72.4,23.04565523,2.5,2.2,0.700282341,19.59577539,alive
Tiorola,C10,Pteleopsis suberosa,C,35.1,11.9,0.1,0.031831016,11.93183102,35.2,11.20451746,0.5,0.4,0.127324062,12.05915508,alive
Tiorola,C11,Combretum geitynophylum,C,22.3,7.1,0.4,0.127324062,7.227324062,22.7,7.22564052,2.4,2,0.63662031,7.863944372,alive
Tiorola,C13,Combretum geitynophylum,C,45.1,14.6,0.3,0.095493047,14.69549305,45.4,14.45128104,1.7,1.4,0.445634217,15.14112726,alive
Tiorola,C1,Combretum geitynophylum,C,21.8,7.8,1.1,0.350141171,8.150141171,22.9,7.289302551,2.4,1.3,0.413803202,8.563944372,alive
Tiorola,C17,Combretum geitynophylum,C,22.1,8.6,0.05,0.015915508,8.615915508,22.15,7.050569934,0.2,0.15,0.047746523,8.663662031,alive
Tiorola,C4,Pteleopsis suberosa,C,60.1,15.7,0.4,0.127324062,15.82732406,60.5,19.25776438,3.2,2.8,0.891268434,16.7185925,alive
Tiorola,C8,Pteleopsis suberosa,C,18.3,5.8,0.2,0.063662031,5.863662031,18.5,5.888737868,3.4,3.2,1.018592496,6.882254527,alive
Tiorola,C7,Combretum geitynophylum,C,19.6,5.8,0.8,0.254648124,6.054648124,20.4,6.493527163,3.3,2.5,0.795775388,6.850423512,alive
Tiorola,C20_1,Combretum geitynophylum,C,40.7,15.1,,,,,,,,,,dead
Tiorola,C20_2,Combretum geitynophylum,C,20.3,5.5,0.9,0.28647914,5.78647914,21.2,6.748175287,2.4,1.5,0.477465233,6.263944372,alive
Tiorola,C19,Pteleopsis suberosa,C,26.1,7.3,0,0,7.3,26.1,8.307895047,0.2,0.2,0.063662031,7.363662031,alive
Tiorola,C9,Combretum geitynophylum,C,26.7,6.9,0.05,0.015915508,6.915915508,26.75,8.514796648,0.2,0.15,0.047746523,6.963662031,alive
Tiorola,C12_1,Combretum geitynophylum,C,29.2,7.6,0.1,0.031831016,7.631831016,29.3,9.326487543,1,0.9,0.28647914,7.918310155,alive
Tiorola,C12_2,Combretum geitynophylum,C,13.9,5.1,0,0,5.1,13.9,4.424511155,,,,,dead
Tiorola,C5,Combretum geitynophylum,C,13.9,4.2,1,0.318310155,4.518310155,14.9,4.74282131,2,1,0.318310155,4.83662031,alive
