Site,Site Code,Treatment Code,Treatment,Plot,TreeID,Year Regrowth Cut,Species
Tiendega,1,1,FH,FH-1,1,1,Deterium microcarpum
Tiendega,1,1,FH,FH-1,2,1,Deterium microcarpum
Tiendega,1,1,FH,FH-1,3,2,Deterium microcarpum
Tiendega,1,1,FH,FH-1,4,1,Deterium microcarpum
Tiendega,1,1,FH,FH-1,5,2,Deterium microcarpum
Tiendega,1,1,FH,FH-1,6,1,Deterium microcarpum
Tiendega,1,1,FH,FH-1,7,2,Deterium microcarpum
Tiendega,1,1,FH,FH-1,8,2,Deterium microcarpum
Tiendega,1,1,FH,FH-1,9,1,Deterium microcarpum
Tiendega,1,1,FH,FH-1,10,2,Deterium microcarpum
Tiendega,1,1,FH,FH-2,11,1,Deterium microcarpum
Tiendega,1,1,FH,FH-2,12,2,Deterium microcarpum
Tiendega,1,1,FH,FH-2,13,2,Deterium microcarpum
Tiendega,1,1,FH,FH-2,14,1,Deterium microcarpum
Tiendega,1,1,FH,FH-2,15,2,Deterium microcarpum
Tiendega,1,1,FH,FH-2,16,2,Deterium microcarpum
Tiendega,1,1,FH,FH-2,17,1,Deterium microcarpum
Tiendega,1,1,FH,FH-2,18,1,Deterium microcarpum
Tiendega,1,1,FH,FH-2,19,1,Deterium microcarpum
Tiendega,1,1,FH,FH-2,20,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,1,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,2,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,3,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,4,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,5,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,6,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,7,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,8,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,9,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-1,10,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,11,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,12,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,13,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,14,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,15,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,16,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,17,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,18,2,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,19,1,Deterium microcarpum
Tiendega,1,2,Fh,Fh-2,20,2,Deterium microcarpum
Tiendega,1,3,fH,fH-1,1,1,Deterium microcarpum
Tiendega,1,3,fH,fH-1,2,2,Deterium microcarpum
Tiendega,1,3,fH,fH-1,3,1,Deterium microcarpum
Tiendega,1,3,fH,fH-1,4,1,Deterium microcarpum
Tiendega,1,3,fH,fH-1,5,2,Deterium microcarpum
Tiendega,1,3,fH,fH-1,6,2,Deterium microcarpum
Tiendega,1,3,fH,fH-1,7,1,Deterium microcarpum
Tiendega,1,3,fH,fH-1,8,1,Deterium microcarpum
Tiendega,1,3,fH,fH-1,9,2,Deterium microcarpum
Tiendega,1,3,fH,fH-1,10,2,Deterium microcarpum
Tiendega,1,3,fH,fH-2,11,2,Deterium microcarpum
Tiendega,1,3,fH,fH-2,12,1,Deterium microcarpum
Tiendega,1,3,fH,fH-2,13,2,Deterium microcarpum
Tiendega,1,3,fH,fH-2,14,1,Deterium microcarpum
Tiendega,1,3,fH,fH-2,16,2,Deterium microcarpum
Tiendega,1,3,fH,fH-2,17,2,Deterium microcarpum
Tiendega,1,3,fH,fH-2,18,1,Deterium microcarpum
Tiendega,1,3,fH,fH-2,19,2,Deterium microcarpum
Tiendega,1,3,fH,fH-2,20,1,Deterium microcarpum
Tiendega,1,4,fh,fh-1,1,2,Deterium microcarpum
Tiendega,1,4,fh,fh-1,2,2,Deterium microcarpum
Tiendega,1,4,fh,fh-1,3,1,Deterium microcarpum
Tiendega,1,4,fh,fh-1,4,2,Deterium microcarpum
Tiendega,1,4,fh,fh-1,5,1,Deterium microcarpum
Tiendega,1,4,fh,fh-1,6,2,Deterium microcarpum
Tiendega,1,4,fh,fh-1,7,2,Deterium microcarpum
Tiendega,1,4,fh,fh-1,8,1,Deterium microcarpum
Tiendega,1,4,fh,fh-1,9,1,Deterium microcarpum
Tiendega,1,4,fh,fh-1,10,1,Deterium microcarpum
Tiendega,1,4,fh,fh-2,11,2,Deterium microcarpum
Tiendega,1,4,fh,fh-2,12,1,Deterium microcarpum
Tiendega,1,4,fh,fh-2,13,1,Deterium microcarpum
Tiendega,1,4,fh,fh-2,14,1,Deterium microcarpum
Tiendega,1,4,fh,fh-2,15,2,Deterium microcarpum
Tiendega,1,4,fh,fh-2,16,1,Deterium microcarpum
Tiendega,1,4,fh,fh-2,17,2,Deterium microcarpum
Tiendega,1,4,fh,fh-2,18,2,Deterium microcarpum
Tiendega,1,4,fh,fh-2,19,2,Deterium microcarpum
Tiendega,1,4,fh,fh-2,20,1,Deterium microcarpum
Lakamane,2,1,FH,FH-1,1,1,Combretum glutinosum
Lakamane,2,1,FH,FH-1,2,1,Combretum glutinosum
Lakamane,2,1,FH,FH-1,3,1,Combretum glutinosum
Lakamane,2,1,FH,FH-1,4,2,Combretum glutinosum
Lakamane,2,1,FH,FH-1,5,2,Combretum glutinosum
Lakamane,2,1,FH,FH-1,6,1,Combretum glutinosum
Lakamane,2,1,FH,FH-1,7,2,Combretum glutinosum
Lakamane,2,1,FH,FH-1,8,2,Combretum glutinosum
Lakamane,2,1,FH,FH-1,9,2,Combretum glutinosum
Lakamane,2,1,FH,FH-1,10,1,Combretum glutinosum
Lakamane,2,1,FH,FH-2,11,2,Combretum glutinosum
Lakamane,2,1,FH,FH-2,12,1,Combretum glutinosum
Lakamane,2,1,FH,FH-2,13,2,Combretum glutinosum
Lakamane,2,1,FH,FH-2,14,1,Combretum glutinosum
Lakamane,2,1,FH,FH-2,15,1,Combretum glutinosum
Lakamane,2,1,FH,FH-2,16,1,Combretum glutinosum
Lakamane,2,1,FH,FH-2,17,2,Combretum glutinosum
Lakamane,2,1,FH,FH-2,18,2,Combretum glutinosum
Lakamane,2,1,FH,FH-2,19,1,Combretum glutinosum
Lakamane,2,1,FH,FH-2,20,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,1,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,2,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,3,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,4,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,5,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,6,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,7,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,8,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,9,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-1,10,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,11,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,12,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,13,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,14,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,15,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,16,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,17,2,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,18,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,19,1,Combretum glutinosum
Lakamane,2,2,Fh,Fh-2,20,1,Combretum glutinosum
Lakamane,2,3,fH,fH-1,1,2,Combretum glutinosum
Lakamane,2,3,fH,fH-1,2,1,Combretum glutinosum
Lakamane,2,3,fH,fH-1,3,2,Combretum glutinosum
Lakamane,2,3,fH,fH-1,5,1,Combretum glutinosum
Lakamane,2,3,fH,fH-1,6,1,Combretum glutinosum
Lakamane,2,3,fH,fH-1,7,1,Combretum glutinosum
Lakamane,2,3,fH,fH-1,8,1,Combretum glutinosum
Lakamane,2,3,fH,fH-2,9,2,Combretum glutinosum
Lakamane,2,3,fH,fH-2,10,2,Combretum glutinosum
Lakamane,2,3,fH,fH-2,11,1,Combretum glutinosum
Lakamane,2,3,fH,fH-2,12,1,Combretum glutinosum
Lakamane,2,3,fH,fH-2,13,1,Combretum glutinosum
Lakamane,2,3,fH,fH-2,14,2,Combretum glutinosum
Lakamane,2,3,fH,fH-2,15,2,Combretum glutinosum
Lakamane,2,3,fH,fH-2,16,2,Combretum glutinosum
Lakamane,2,3,fH,fH-2,17,1,Combretum glutinosum
Lakamane,2,3,fH,fH-2,18,1,Combretum glutinosum
Lakamane,2,3,fH,fH-2,19,2,Combretum glutinosum
Lakamane,2,3,fH,fH-2,20,2,Combretum glutinosum
Lakamane,2,4,fh,fh-1,1,2,Combretum glutinosum
Lakamane,2,4,fh,fh-1,2,1,Combretum glutinosum
Lakamane,2,4,fh,fh-1,3,2,Combretum glutinosum
Lakamane,2,4,fh,fh-1,4,1,Combretum glutinosum
Lakamane,2,4,fh,fh-1,5,2,Combretum glutinosum
Lakamane,2,4,fh,fh-1,6,2,Combretum glutinosum
Lakamane,2,4,fh,fh-1,7,1,Combretum glutinosum
Lakamane,2,4,fh,fh-2,9,2,Combretum glutinosum
Lakamane,2,4,fh,fh-2,10,1,Combretum glutinosum
Lakamane,2,4,fh,fh-2,11,2,Combretum glutinosum
Lakamane,2,4,fh,fh-2,12,1,Combretum glutinosum
Lakamane,2,4,fh,fh-2,13,1,Combretum glutinosum
Lakamane,2,4,fh,fh-2,14,2,Combretum glutinosum
Lakamane,2,4,fh,fh-2,15,2,Combretum glutinosum
Lakamane,2,4,fh,fh-2,16,1,Combretum glutinosum
